prospect_id,canonical_business_name,phone,email,website,address,operator_type,harbor_name,research_summary,supply_chain_summary,confidence,sources,field_ids,field_count,needs_review,approved,last_enriched
45,"41.62022, -70.39230",,,,,unknown,,"Places-only enrichment (Gemini unavailable). Detected mooring field with 24 boats near 41.62022, -70.39230. Re-run enrich-research after setting GEMINI_API_KEY for harbor and mooring contractor lookup.","Supply chain for 41.62022, -70.39230 — overall confidence: Low
Supply chain research unavailable. {
  ""error"": {
    ""code"": 429,
    ""message"": ""Your prepayment credits are depleted. Please go to AI Studio at https://ai.studio/projects to manage your project and billing. Learn more at https://ai.google.dev/gemini-api/docs/billing#prepay. "",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
",0.35,[],87,1,1,0,2026-07-20T16:52:29.289274+00:00
46,"41.62074, -70.39643",,,,,unknown,,"Places-only enrichment (Gemini unavailable). Detected mooring field with 19 boats near 41.62074, -70.39643. Re-run enrich-research after setting GEMINI_API_KEY for harbor and mooring contractor lookup.","Supply chain for 41.62074, -70.39643 — overall confidence: Low
Supply chain research unavailable. {
  ""error"": {
    ""code"": 429,
    ""message"": ""Your prepayment credits are depleted. Please go to AI Studio at https://ai.studio/projects to manage your project and billing. Learn more at https://ai.google.dev/gemini-api/docs/billing#prepay. "",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
",0.35,[],88,1,1,0,2026-07-20T16:52:29.294676+00:00
47,"41.61530, -70.39141",,,,,unknown,,"Places-only enrichment (Gemini unavailable). Detected mooring field with 5 boats near 41.61530, -70.39141. Re-run enrich-research after setting GEMINI_API_KEY for harbor and mooring contractor lookup.","Supply chain for 41.61530, -70.39141 — overall confidence: Low
Supply chain research unavailable. {
  ""error"": {
    ""code"": 429,
    ""message"": ""Your prepayment credits are depleted. Please go to AI Studio at https://ai.studio/projects to manage your project and billing. Learn more at https://ai.google.dev/gemini-api/docs/billing#prepay. "",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
",0.35,[],89,1,1,0,2026-07-20T16:52:29.300326+00:00
48,"44.63501, -67.29793",,,,,unknown,,"Places-only enrichment (Gemini unavailable). Detected mooring field with 10 boats near 44.63501, -67.29793. Re-run enrich-research after setting GEMINI_API_KEY for harbor and mooring contractor lookup.","Supply chain for 44.63501, -67.29793 — overall confidence: Low
Supply chain research unavailable. {
  ""error"": {
    ""code"": 429,
    ""message"": ""Your prepayment credits are depleted. Please go to AI Studio at https://ai.studio/projects to manage your project and billing. Learn more at https://ai.google.dev/gemini-api/docs/billing#prepay. "",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
",0.35,[],90,1,1,0,2026-07-20T16:52:29.306179+00:00
49,"42.58266, -70.66681",,,,,unknown,,"Places-only enrichment (Gemini unavailable). Detected mooring field with 55 boats near 42.58266, -70.66681. Re-run enrich-research after setting GEMINI_API_KEY for harbor and mooring contractor lookup.","Supply chain for 42.58266, -70.66681 — overall confidence: Low
Supply chain research unavailable. {
  ""error"": {
    ""code"": 429,
    ""message"": ""Your prepayment credits are depleted. Please go to AI Studio at https://ai.studio/projects to manage your project and billing. Learn more at https://ai.google.dev/gemini-api/docs/billing#prepay. "",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
",0.35,[],91,1,1,0,2026-07-20T16:52:30.397412+00:00
50,"44.42928, -69.00687",,,,,unknown,,"Places-only enrichment (Gemini unavailable). Detected mooring field with 88 boats near 44.42928, -69.00687. Re-run enrich-research after setting GEMINI_API_KEY for harbor and mooring contractor lookup.","Supply chain for 44.42928, -69.00687 — overall confidence: Low
Supply chain research unavailable. {
  ""error"": {
    ""code"": 429,
    ""message"": ""Your prepayment credits are depleted. Please go to AI Studio at https://ai.studio/projects to manage your project and billing. Learn more at https://ai.google.dev/gemini-api/docs/billing#prepay. "",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
",0.35,[],92,1,1,0,2026-07-20T16:52:30.406520+00:00
51,"44.35107, -68.54415",,,,,unknown,,"Places-only enrichment (Gemini unavailable). Detected mooring field with 7 boats near 44.35107, -68.54415. Re-run enrich-research after setting GEMINI_API_KEY for harbor and mooring contractor lookup.","Supply chain for 44.35107, -68.54415 — overall confidence: Low
Supply chain research unavailable. {
  ""error"": {
    ""code"": 429,
    ""message"": ""Your prepayment credits are depleted. Please go to AI Studio at https://ai.studio/projects to manage your project and billing. Learn more at https://ai.google.dev/gemini-api/docs/billing#prepay. "",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
",0.35,[],93,1,1,0,2026-07-20T16:52:30.411937+00:00
52,"41.66592, -70.06541",,,,,unknown,,"Places-only enrichment (Gemini unavailable). Detected mooring field with 63 boats near 41.66592, -70.06541. Re-run enrich-research after setting GEMINI_API_KEY for harbor and mooring contractor lookup.","Supply chain for 41.66592, -70.06541 — overall confidence: Low
Supply chain research unavailable. {
  ""error"": {
    ""code"": 429,
    ""message"": ""Your prepayment credits are depleted. Please go to AI Studio at https://ai.studio/projects to manage your project and billing. Learn more at https://ai.google.dev/gemini-api/docs/billing#prepay. "",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
",0.35,[],94,1,1,0,2026-07-20T16:52:30.419295+00:00
53,"41.66859, -70.06518",,,,,unknown,,"Places-only enrichment (Gemini unavailable). Detected mooring field with 5 boats near 41.66859, -70.06518. Re-run enrich-research after setting GEMINI_API_KEY for harbor and mooring contractor lookup.","Supply chain for 41.66859, -70.06518 — overall confidence: Low
Supply chain research unavailable. {
  ""error"": {
    ""code"": 429,
    ""message"": ""Your prepayment credits are depleted. Please go to AI Studio at https://ai.studio/projects to manage your project and billing. Learn more at https://ai.google.dev/gemini-api/docs/billing#prepay. "",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
",0.35,[],95,1,1,0,2026-07-20T16:52:30.427558+00:00
54,"41.66224, -70.06326",,,,,unknown,,"Places-only enrichment (Gemini unavailable). Detected mooring field with 5 boats near 41.66224, -70.06326. Re-run enrich-research after setting GEMINI_API_KEY for harbor and mooring contractor lookup.","Supply chain for 41.66224, -70.06326 — overall confidence: Low
Supply chain research unavailable. {
  ""error"": {
    ""code"": 429,
    ""message"": ""Your prepayment credits are depleted. Please go to AI Studio at https://ai.studio/projects to manage your project and billing. Learn more at https://ai.google.dev/gemini-api/docs/billing#prepay. "",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
",0.35,[],96,1,1,0,2026-07-20T16:52:30.434349+00:00
