prospect_id,mooring_company,harbor_name,field_ids,supplier_or_manufacturer,component_types,evidence,confidence_level,confirmation_status,notable_brands,company_overall_confidence
45,"41.62022, -70.39230",,87,,,"Supply chain research unavailable. {
  ""error"": {
    ""code"": 429,
    ""message"": ""Your prepayment credits are depleted. Please go to AI Studio at https://ai.studio/projects to manage your project and billing. Learn more at https://ai.google.dev/gemini-api/docs/billing#prepay. "",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
",Low,,,Low
46,"41.62074, -70.39643",,88,,,"Supply chain research unavailable. {
  ""error"": {
    ""code"": 429,
    ""message"": ""Your prepayment credits are depleted. Please go to AI Studio at https://ai.studio/projects to manage your project and billing. Learn more at https://ai.google.dev/gemini-api/docs/billing#prepay. "",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
",Low,,,Low
47,"41.61530, -70.39141",,89,,,"Supply chain research unavailable. {
  ""error"": {
    ""code"": 429,
    ""message"": ""Your prepayment credits are depleted. Please go to AI Studio at https://ai.studio/projects to manage your project and billing. Learn more at https://ai.google.dev/gemini-api/docs/billing#prepay. "",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
",Low,,,Low
48,"44.63501, -67.29793",,90,,,"Supply chain research unavailable. {
  ""error"": {
    ""code"": 429,
    ""message"": ""Your prepayment credits are depleted. Please go to AI Studio at https://ai.studio/projects to manage your project and billing. Learn more at https://ai.google.dev/gemini-api/docs/billing#prepay. "",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
",Low,,,Low
49,"42.58266, -70.66681",,91,,,"Supply chain research unavailable. {
  ""error"": {
    ""code"": 429,
    ""message"": ""Your prepayment credits are depleted. Please go to AI Studio at https://ai.studio/projects to manage your project and billing. Learn more at https://ai.google.dev/gemini-api/docs/billing#prepay. "",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
",Low,,,Low
50,"44.42928, -69.00687",,92,,,"Supply chain research unavailable. {
  ""error"": {
    ""code"": 429,
    ""message"": ""Your prepayment credits are depleted. Please go to AI Studio at https://ai.studio/projects to manage your project and billing. Learn more at https://ai.google.dev/gemini-api/docs/billing#prepay. "",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
",Low,,,Low
51,"44.35107, -68.54415",,93,,,"Supply chain research unavailable. {
  ""error"": {
    ""code"": 429,
    ""message"": ""Your prepayment credits are depleted. Please go to AI Studio at https://ai.studio/projects to manage your project and billing. Learn more at https://ai.google.dev/gemini-api/docs/billing#prepay. "",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
",Low,,,Low
52,"41.66592, -70.06541",,94,,,"Supply chain research unavailable. {
  ""error"": {
    ""code"": 429,
    ""message"": ""Your prepayment credits are depleted. Please go to AI Studio at https://ai.studio/projects to manage your project and billing. Learn more at https://ai.google.dev/gemini-api/docs/billing#prepay. "",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
",Low,,,Low
53,"41.66859, -70.06518",,95,,,"Supply chain research unavailable. {
  ""error"": {
    ""code"": 429,
    ""message"": ""Your prepayment credits are depleted. Please go to AI Studio at https://ai.studio/projects to manage your project and billing. Learn more at https://ai.google.dev/gemini-api/docs/billing#prepay. "",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
",Low,,,Low
54,"41.66224, -70.06326",,96,,,"Supply chain research unavailable. {
  ""error"": {
    ""code"": 429,
    ""message"": ""Your prepayment credits are depleted. Please go to AI Studio at https://ai.studio/projects to manage your project and billing. Learn more at https://ai.google.dev/gemini-api/docs/billing#prepay. "",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
",Low,,,Low
55,"43.94397, -69.45584",,97,,,"Supply chain research unavailable. {
  ""error"": {
    ""code"": 429,
    ""message"": ""Your prepayment credits are depleted. Please go to AI Studio at https://ai.studio/projects to manage your project and billing. Learn more at https://ai.google.dev/gemini-api/docs/billing#prepay. "",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
",Low,,,Low
56,"41.92943, -70.03126",,98,,,"Supply chain research unavailable. {
  ""error"": {
    ""code"": 429,
    ""message"": ""Your prepayment credits are depleted. Please go to AI Studio at https://ai.studio/projects to manage your project and billing. Learn more at https://ai.google.dev/gemini-api/docs/billing#prepay. "",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
",Low,,,Low
57,"41.93062, -70.02956",,99,,,"Supply chain research unavailable. {
  ""error"": {
    ""code"": 429,
    ""message"": ""Your prepayment credits are depleted. Please go to AI Studio at https://ai.studio/projects to manage your project and billing. Learn more at https://ai.google.dev/gemini-api/docs/billing#prepay. "",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
",Low,,,Low
58,"43.88078, -69.51435",,100,,,"Supply chain research unavailable. {
  ""error"": {
    ""code"": 429,
    ""message"": ""Your prepayment credits are depleted. Please go to AI Studio at https://ai.studio/projects to manage your project and billing. Learn more at https://ai.google.dev/gemini-api/docs/billing#prepay. "",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
",Low,,,Low
59,"43.88314, -69.51411",,101,,,"Supply chain research unavailable. {
  ""error"": {
    ""code"": 429,
    ""message"": ""Your prepayment credits are depleted. Please go to AI Studio at https://ai.studio/projects to manage your project and billing. Learn more at https://ai.google.dev/gemini-api/docs/billing#prepay. "",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
",Low,,,Low
60,"43.88416, -69.51129",,102,,,"Supply chain research unavailable. {
  ""error"": {
    ""code"": 429,
    ""message"": ""Your prepayment credits are depleted. Please go to AI Studio at https://ai.studio/projects to manage your project and billing. Learn more at https://ai.google.dev/gemini-api/docs/billing#prepay. "",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
",Low,,,Low
61,"43.88332, -69.51700",,103,,,"Supply chain research unavailable. {
  ""error"": {
    ""code"": 429,
    ""message"": ""Your prepayment credits are depleted. Please go to AI Studio at https://ai.studio/projects to manage your project and billing. Learn more at https://ai.google.dev/gemini-api/docs/billing#prepay. "",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
",Low,,,Low
62,"42.56757, -70.77583",,104,,,"Supply chain research unavailable. {
  ""error"": {
    ""code"": 429,
    ""message"": ""Your prepayment credits are depleted. Please go to AI Studio at https://ai.studio/projects to manage your project and billing. Learn more at https://ai.google.dev/gemini-api/docs/billing#prepay. "",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
",Low,,,Low
63,"42.66708, -70.62331",,105,,,"Supply chain research unavailable. {
  ""error"": {
    ""code"": 429,
    ""message"": ""Your prepayment credits are depleted. Please go to AI Studio at https://ai.studio/projects to manage your project and billing. Learn more at https://ai.google.dev/gemini-api/docs/billing#prepay. "",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
",Low,,,Low
64,"42.66397, -70.62000",,106,,,"Supply chain research unavailable. {
  ""error"": {
    ""code"": 429,
    ""message"": ""Your prepayment credits are depleted. Please go to AI Studio at https://ai.studio/projects to manage your project and billing. Learn more at https://ai.google.dev/gemini-api/docs/billing#prepay. "",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
",Low,,,Low
65,"43.79050, -69.89070",,107,,,"Supply chain research unavailable. {
  ""error"": {
    ""code"": 429,
    ""message"": ""Your prepayment credits are depleted. Please go to AI Studio at https://ai.studio/projects to manage your project and billing. Learn more at https://ai.google.dev/gemini-api/docs/billing#prepay. "",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
",Low,,,Low
66,"43.78778, -69.89316",,108,,,"Supply chain research unavailable. {
  ""error"": {
    ""code"": 429,
    ""message"": ""Your prepayment credits are depleted. Please go to AI Studio at https://ai.studio/projects to manage your project and billing. Learn more at https://ai.google.dev/gemini-api/docs/billing#prepay. "",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
",Low,,,Low
67,"43.79359, -69.89143",,109,,,"Supply chain research unavailable. {
  ""error"": {
    ""code"": 429,
    ""message"": ""Your prepayment credits are depleted. Please go to AI Studio at https://ai.studio/projects to manage your project and billing. Learn more at https://ai.google.dev/gemini-api/docs/billing#prepay. "",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
",Low,,,Low
68,"43.79549, -69.89128",,110,,,"Supply chain research unavailable. {
  ""error"": {
    ""code"": 429,
    ""message"": ""Your prepayment credits are depleted. Please go to AI Studio at https://ai.studio/projects to manage your project and billing. Learn more at https://ai.google.dev/gemini-api/docs/billing#prepay. "",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
",Low,,,Low
69,"43.78755, -69.88825",,111,,,"Supply chain research unavailable. {
  ""error"": {
    ""code"": 429,
    ""message"": ""Your prepayment credits are depleted. Please go to AI Studio at https://ai.studio/projects to manage your project and billing. Learn more at https://ai.google.dev/gemini-api/docs/billing#prepay. "",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
",Low,,,Low
70,"41.63920, -70.27673",,112,,,"Supply chain research unavailable. {
  ""error"": {
    ""code"": 429,
    ""message"": ""Your prepayment credits are depleted. Please go to AI Studio at https://ai.studio/projects to manage your project and billing. Learn more at https://ai.google.dev/gemini-api/docs/billing#prepay. "",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
",Low,,,Low
71,"41.63723, -70.27348",,113,,,"Supply chain research unavailable. {
  ""error"": {
    ""code"": 429,
    ""message"": ""Your prepayment credits are depleted. Please go to AI Studio at https://ai.studio/projects to manage your project and billing. Learn more at https://ai.google.dev/gemini-api/docs/billing#prepay. "",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
",Low,,,Low
72,"44.20451, -69.05565",,114,,,"Supply chain research unavailable. {
  ""error"": {
    ""code"": 429,
    ""message"": ""Your prepayment credits are depleted. Please go to AI Studio at https://ai.studio/projects to manage your project and billing. Learn more at https://ai.google.dev/gemini-api/docs/billing#prepay. "",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
",Low,,,Low
73,"41.62723, -70.91247",,115,,,"Supply chain research unavailable. {
  ""error"": {
    ""code"": 429,
    ""message"": ""Your prepayment credits are depleted. Please go to AI Studio at https://ai.studio/projects to manage your project and billing. Learn more at https://ai.google.dev/gemini-api/docs/billing#prepay. "",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
",Low,,,Low
74,"41.62403, -70.91167",,116,,,"Supply chain research unavailable. {
  ""error"": {
    ""code"": 429,
    ""message"": ""Your prepayment credits are depleted. Please go to AI Studio at https://ai.studio/projects to manage your project and billing. Learn more at https://ai.google.dev/gemini-api/docs/billing#prepay. "",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
",Low,,,Low
75,"41.62394, -70.90733",,117,,,"Supply chain research unavailable. {
  ""error"": {
    ""code"": 429,
    ""message"": ""Your prepayment credits are depleted. Please go to AI Studio at https://ai.studio/projects to manage your project and billing. Learn more at https://ai.google.dev/gemini-api/docs/billing#prepay. "",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
",Low,,,Low
76,"41.62209, -70.90964",,118,,,"Supply chain research unavailable. {
  ""error"": {
    ""code"": 429,
    ""message"": ""Your prepayment credits are depleted. Please go to AI Studio at https://ai.studio/projects to manage your project and billing. Learn more at https://ai.google.dev/gemini-api/docs/billing#prepay. "",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
",Low,,,Low
77,"41.62427, -70.91466",,119,,,"Supply chain research unavailable. {
  ""error"": {
    ""code"": 429,
    ""message"": ""Your prepayment credits are depleted. Please go to AI Studio at https://ai.studio/projects to manage your project and billing. Learn more at https://ai.google.dev/gemini-api/docs/billing#prepay. "",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
",Low,,,Low
78,"43.96465, -69.20515",,120,,,"Supply chain research unavailable. {
  ""error"": {
    ""code"": 429,
    ""message"": ""Your prepayment credits are depleted. Please go to AI Studio at https://ai.studio/projects to manage your project and billing. Learn more at https://ai.google.dev/gemini-api/docs/billing#prepay. "",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
",Low,,,Low
79,"43.96526, -69.20265",,"121,124",,,"Supply chain research unavailable. {
  ""error"": {
    ""code"": 429,
    ""message"": ""Your prepayment credits are depleted. Please go to AI Studio at https://ai.studio/projects to manage your project and billing. Learn more at https://ai.google.dev/gemini-api/docs/billing#prepay. "",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
",Low,,,Low
80,"43.96275, -69.20775",,122,,,"Supply chain research unavailable. {
  ""error"": {
    ""code"": 429,
    ""message"": ""Your prepayment credits are depleted. Please go to AI Studio at https://ai.studio/projects to manage your project and billing. Learn more at https://ai.google.dev/gemini-api/docs/billing#prepay. "",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
",Low,,,Low
81,"43.96242, -69.20391",,123,,,"Supply chain research unavailable. {
  ""error"": {
    ""code"": 429,
    ""message"": ""Your prepayment credits are depleted. Please go to AI Studio at https://ai.studio/projects to manage your project and billing. Learn more at https://ai.google.dev/gemini-api/docs/billing#prepay. "",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
",Low,,,Low
83,"43.96657, -69.20560",,125,,,"Supply chain research unavailable. {
  ""error"": {
    ""code"": 429,
    ""message"": ""Your prepayment credits are depleted. Please go to AI Studio at https://ai.studio/projects to manage your project and billing. Learn more at https://ai.google.dev/gemini-api/docs/billing#prepay. "",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
",Low,,,Low
84,"43.00074, -70.74901",,126,,,"Supply chain research unavailable. {
  ""error"": {
    ""code"": 429,
    ""message"": ""Your prepayment credits are depleted. Please go to AI Studio at https://ai.studio/projects to manage your project and billing. Learn more at https://ai.google.dev/gemini-api/docs/billing#prepay. "",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
",Low,,,Low
85,"42.99828, -70.74451",,127,,,"Supply chain research unavailable. {
  ""error"": {
    ""code"": 429,
    ""message"": ""Your prepayment credits are depleted. Please go to AI Studio at https://ai.studio/projects to manage your project and billing. Learn more at https://ai.google.dev/gemini-api/docs/billing#prepay. "",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
",Low,,,Low
86,"44.35663, -68.30584",,128,,,"Supply chain research unavailable. {
  ""error"": {
    ""code"": 429,
    ""message"": ""Your prepayment credits are depleted. Please go to AI Studio at https://ai.studio/projects to manage your project and billing. Learn more at https://ai.google.dev/gemini-api/docs/billing#prepay. "",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
",Low,,,Low
87,"42.05041, -70.18211",,129,,,"Supply chain research unavailable. {
  ""error"": {
    ""code"": 429,
    ""message"": ""Your prepayment credits are depleted. Please go to AI Studio at https://ai.studio/projects to manage your project and billing. Learn more at https://ai.google.dev/gemini-api/docs/billing#prepay. "",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
",Low,,,Low
88,"42.04871, -70.18417",,130,,,"Supply chain research unavailable. {
  ""error"": {
    ""code"": 429,
    ""message"": ""Your prepayment credits are depleted. Please go to AI Studio at https://ai.studio/projects to manage your project and billing. Learn more at https://ai.google.dev/gemini-api/docs/billing#prepay. "",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
",Low,,,Low
89,"42.04862, -70.17725",,131,,,"Supply chain research unavailable. {
  ""error"": {
    ""code"": 429,
    ""message"": ""Your prepayment credits are depleted. Please go to AI Studio at https://ai.studio/projects to manage your project and billing. Learn more at https://ai.google.dev/gemini-api/docs/billing#prepay. "",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
",Low,,,Low
90,"43.05502, -70.72044",,132,,,"Supply chain research unavailable. {
  ""error"": {
    ""code"": 429,
    ""message"": ""Your prepayment credits are depleted. Please go to AI Studio at https://ai.studio/projects to manage your project and billing. Learn more at https://ai.google.dev/gemini-api/docs/billing#prepay. "",
    ""status"": ""RESOURCE_EXHAUSTED""
  }
}
",Low,,,Low
